Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
45000,662,68.0,4,5,3,1977-01-01,Central,Fully equipped,0.56,0.85,0.83,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-putinu-g-parduodamas-3-kambariu-butas-alytuje-putinu-1-3158649/
21000,600,35.0,4,5,2,1979-01-01,Central,Fully equipped,0.53,0.5,0.18,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-kalniskes-g-parduodamas-2-ju-kambariu-butas-kalniskes-g-1-3214086/
49000,1478,33.15,5,5,1,1974-01-01,Central,Fully equipped,0.27,0.18,0.12,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-putinu-g-parduodamas-naujai-irengtas-1-kambario-butas-1-3271800/
36500,1097,33.26,2,5,1,1971-01-01,Central,Fully equipped,0.17,0.18,0.34,,2,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-naujoji-g-parduodamas-1-kambario-butas-norintiems-1-3270628/
60000,1159,51.79,3,9,2,1978-01-01,Central,Fully equipped,0.25,0.32,0.05,,4,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-lauko-g-parduodamas-2-kambariu-butas-putinu-1-3267492/
47900,728,65.8,5,5,3,1975-01-01,Central,Fully equipped,0.2,0.1,0.13,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-a-jonyno-g-parduodamas-3-kambariu-butas-putinu-1-3266934/
16000,417,38.38,4,5,2,1974-01-01,Central,Fully equipped,0.28,0.2,0.18,,5,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-miklusenu-g-parduodama-12-keturiu-kambariu-buto-bendra-1-3208665/
30000,1017,29.5,5,5,1,1973-01-01,Central,Fully equipped,0.31,0.31,0.31,,3,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-naujoji-g-parduodamas-1-kamb-butas-dalinai-1-3173446/
29000,1005,28.86,5,5,1,1973-01-01,Central,Fully equipped,0.15,0.24,0.13,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-lauko-g-1-kambario-butas-parduodamas-1-kambario-1-3265816/
79000,1234,64.0,2,9,3,1972-01-01,Central,Fully equipped,0.17,0.19,0.26,,1,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-a-jonyno-g-parduodamas-su-ispudingu-vaizdu-triju-1-3249673/
32000,836,38.27,5,12,2,1986-01-01,Central,Fully equipped,0.39,0.36,0.24,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-naujoji-g-parduodamas-dvieju-kambariu-butas-su-1-3203091/
52000,1020,51.0,5,5,2,1974-01-01,Central,Fully equipped,0.08,0.11,0.23,,4,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-lauko-g-parduodamas-2-k-butas-5-aukste-lauko-gatveje-1-3205921/
65000,1047,62.06,2,9,3,1974-01-01,Central,Fully equipped,0.08,0.2,0.27,,1,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-saltiniu-g-parduodamas-3-kambariu-butas-2-aukste-1-3272606/
22000,721,30.52,4,5,2,1987-01-01,Central,Fully equipped,0.53,0.51,0.22,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-kalniskes-g-parduodamas-2-ju-kambariu-butas-kalniskes-1-3271622/
23000,697,33.0,5,5,1,1978-01-01,Central,Other,0.45,0.38,0.1,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-naujoji-g-parduodamas-vieno-kambario-butas-be-balkono-1-3271538/
41999,892,47.1,5,5,2,1975-01-01,Central,Fully equipped,0.18,0.15,0.43,,2,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-zuvinto-g-parduodamas-2-kamb-butas-putinu-mikrorajone-1-3269546/
85000,1104,77.0,2,5,4,1974-01-01,Central,Fully equipped,0.21,0.16,0.24,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-miklusenu-g-parduodamas-keturiu-kambariu-butas-putinu-1-3265114/
29500,878,33.6,4,5,1,1976-01-01,Central,Fully equipped,0.28,0.17,0.03,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-putinu-g-1-kambario-butas-putinuose-parduodamas-1-3264934/
42000,891,47.13,3,5,2,1973-01-01,Central,Partial decoration,0.24,0.21,0.28,,5,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-miklusenu-g-parduodamas-dvieju-kambariu-butas-putinu-1-3261034/
63000,1029,61.2,2,5,3,1973-01-01,Central,Fully equipped,0.09,0.15,0.29,,1,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-saltiniu-g-parduodamas-3-ju-kambariu-butas-saltiniu-g-1-3249193/
88888,926,96.0,4,5,3,1975-01-01,Central,Fully equipped,0.23,0.22,0.38,,2,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-zuvinto-g-parduodamas-isskirtinis-96-kv-m-ploto-butas-1-3244537/
21500,611,35.17,5,5,2,1979-01-01,Central,Fully equipped,0.54,0.5,0.11,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-kalniskes-g-parduodamas-butas-kalniskes-gatveje-1-3229712/
65000,829,78.45,2,5,4,1975-01-01,Central,Fully equipped,0.29,0.2,0.13,,6,Alytus,Putinai,https://en.aruodas.lt/butai-alytuje-putinuose-a-jonyno-g-parduodamas-4-iu-kambariu-butas-a-jonyno-g-1-3221188/
58500,915,63.95,2,5,3,1978-01-01,"Central, electric",Fully equipped,0.27,0.2,0.2,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kastonu-g-parduodamas-3-iju-k-butas-2-ame-aukste-1-3272772/
34000,1042,32.63,2,5,1,1986-01-01,Central,Fully equipped,0.13,0.3,0.32,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-sudvaju-g-parduodamas-1-kambario-butas-vidzgiryje-1-3271108/
64000,1050,60.97,2,5,3,1977-01-01,Central,Fully equipped,0.23,0.11,0.24,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kastonu-g-parduodamastriju-kambariu-butas-kastonu-g-1-3270804/
