Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
165000,1842,89.58,1,2,4,2018-01-01,Gas,Partial decoration,0.48,0.8,0.13,0.12,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-vievio-g-parduodamas-keturiu-kambariu-butas-1-3272536/
79900,1480,54.0,1,5,2,1976-01-01,Central,Fully equipped,0.2,0.49,0.13,0.02,5,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-prancuzu-g-naujai-kokybiskomis-medziagomis-irengtas-1-3250149/
96000,2107,45.56,4,5,2,1968-01-01,Central,Fully equipped,0.27,0.17,0.26,0.42,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-birzisku-g-parduodamas-2-kambariu-butas-birzisku-g-1-3271584/
39500,974,40.56,1,1,2,1941-01-01,"Electric, gas, solid fuel, other",Partial decoration,0.72,0.35,0.64,0.2,1,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-jaunuju-talkininku-g-parduodamas-4056-m2-butas-su-privaciu-iejimu-1-3229382/
77000,1185,65.0,2,5,3,1980-01-01,Central,Fully equipped,0.4,0.47,0.03,0.14,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-medvegalio-g-parduodamas-triju-kambariu-butas-1-3238266/
99000,2605,38.0,2,3,2,2018-01-01,Central thermostat,Fully equipped,0.34,0.47,0.04,0.1,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-asmenos-2-oji-g-nauja-statyba-uzdaras-kiemas-ir-ispirkta-1-3095179/
151000,2655,56.88,4,8,3,2007-01-01,Central thermostat,Fully equipped,0.84,0.57,0.58,0.15,1,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-asmenos-1-oji-g-3kbutas-su-vaizdu-i-asanciu-azuolyna-1-3268818/
48000,1455,33.0,3,5,1,1975-01-01,Central,Fully equipped,0.2,0.49,0.13,0.02,5,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-prancuzu-g-parduodamas-vieno-kambario-33-kv-m-butas-su-1-3265206/
95000,2129,44.62,3,5,2,1962-01-01,Central,Fully equipped,0.24,0.16,0.28,0.43,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-birzisku-g-puikioje-vietoje-birzisku-gatveje-1-3273402/
58500,1264,46.28,5,5,2,1967-01-01,Central,Fully equipped,0.05,0.4,0.16,0.1,8,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-prancuzu-g-parduodamas-2-kambariu-butas-bendro-ploto-46-1-3259176/
90000,2000,45.0,1,5,2,1962-01-01,Central,Fully equipped,0.12,0.22,0.32,0.39,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-birzisku-g-parduodamas-2-kambariu-butas-birzisku-g-1-3258462/
89900,1763,51.0,4,5,2,1972-01-01,Central,Fully equipped,0.59,0.61,0.14,0.13,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-medvegalio-g-2-k-butas-a-sanciuose-naujas-remontas-1-3257300/
