Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
12500,660,18.94,3,4,1,1958-01-01,Central,Partial decoration,0.47,0.24,0.08,0.16,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-kapitaliai-suremuontuotas-1-3244675/
95000,1836,51.74,2,5,2,1993-01-01,Central,Fully equipped,0.49,0.26,0.31,0.24,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-tvarkingas-2-kambariu-butas-parduodamas-2-1-3272816/
82999,1297,64.0,4,5,2,1983-01-01,Central,Fully equipped,0.19,0.26,0.22,0.22,12,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-darzelio-g-galima-ateiti-ir-iskart-gyventi-pard-1-3270430/
20800,1156,18.0,2,4,1,1958-01-01,Central,Fully equipped,0.47,0.24,0.08,0.16,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-sveiki-parduodamas-butas-klaipedoje-butas-1-3229706/
70900,1144,62.0,4,5,3,1978-01-01,Central,Fully equipped,0.18,0.17,0.11,0.16,11,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-3-ju-kambariu-butas-klaipedoje-nidos-g-1-3238832/
28900,1700,17.0,4,4,1,1989-01-01,Central,Fully equipped,0.41,0.27,0.14,0.27,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-sulupes-g-skubiai-parduodu-sutvarkyta-atskira-1-3268730/
109001,2946,37.0,4,8,2,2019-01-01,Central,Fully equipped,0.31,0.64,0.29,0.2,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-parduodame-naujos-statybos-name-2-ju-kambariu-1-3266958/
82000,2237,36.66,4,5,2,2004-01-01,Central,Fully equipped,0.5,0.32,0.13,0.19,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-naujai-stilingai-irengtas-butas-1-3217382/
75000,974,77.0,3,3,3,1954-01-01,Central,Fully equipped,0.3,0.3,0.08,0.15,9,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-klaipedoje-parduodamas-nestandartinis-ir-1-3265916/
32900,1828,18.0,3,4,1,1970-01-01,Central,Fully equipped,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-naujai-irengtas-1-kambario-butas-1-3264852/
16000,970,16.5,3,4,1,1961-01-01,Central,Fully equipped,0.39,0.15,0.15,0.23,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-sulupes-g-parduodamas-kambarys-bendrabutyje-1-3264226/
47000,1424,33.0,1,4,1,1975-01-01,Central,Fully equipped,0.28,0.45,0.09,0.14,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-1-kambario-butas-minijos-g-1-kambario-butas-1-3261700/
15000,1071,14.0,4,4,1,1960-01-01,Central,Fully equipped,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-butas-bendrabutyje-reikia-1-3261340/
55000,965,57.0,7,9,2,1982-01-01,Central,Fully equipped,0.19,0.34,0.11,0.09,11,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-naikupes-g-savininkas-parduodamas-erdvus-2-ju-kambariu-1-3260530/
59000,1967,30.0,2,4,1,1960-01-01,Central,Fully equipped,0.55,0.68,0.16,0.13,2,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-zalgirio-g-apartamentai-parduoda-savininke-klaipedoje-1-3258760/
