Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
48000,954,50.3,4,5,3,1967-01-01,Central,Fully equipped,0.11,0.3,0.12,0.12,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ramygalos-g-3-k-butas-ramygalos-g-renovuotame-name-1-3260802/
49500,1338,37.0,4,5,1,2000-01-01,Central,Fully equipped,0.5,0.45,0.17,0.1,4,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-nemuno-g-panevezyje-vieno-kambario-butas-adresu-1-3273394/
62300,1351,46.12,3,5,2,1968-01-01,Central,Fully equipped,0.16,0.34,0.09,0.11,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-j-basanaviciaus-g-parduodamas-2-kambariu-butas-j-basanaviciaus-1-3273292/
90000,1800,50.0,2,2,2,1905-01-01,Central,Fully equipped,0.38,0.18,0.1,0.19,3,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-respublikos-g-butas-centre-pardavimui-respublikos-g-1-3249397/
85500,1943,44.0,2,5,2,1972-01-01,Central,Fully equipped,0.19,0.27,0.08,0.18,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-margiu-g-parduodamas-visiskai-naujai-bei-moderniai-1-3269772/
75000,1185,63.31,4,4,3,1994-01-01,Central,Fully equipped,0.08,0.28,0.49,0.25,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-krekenavos-g-butas-sviesus-didele-virtuve-parduodamas-1-3236826/
28700,855,33.55,5,5,2,1977-01-01,Central,Fully equipped,0.27,0.43,0.29,0.12,4,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-algirdo-g-parduodamas-2k-butas-algirdo-g-panevezio-1-3266904/
28000,1046,26.76,1,2,2,1896-01-01,Gas,Other,0.13,0.16,0.12,0.46,8,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ukmerges-g-parduodamas-2-kambariu-butas-miesto-centre-1-3266422/
26400,910,29.0,1,4,1,1963-01-01,Central,Fully equipped,0.22,0.3,0.04,0.28,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilties-g-parduodamas-1-kambario-butas-vilties-g-1-3158885/
93100,1900,49.0,2,4,2,2022-01-01,Central thermostat,Partial decoration,0.25,0.48,0.51,0.05,14,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-klaipedos-g-parduodami-butai-naujai-statomame-name-1-3265736/
33900,1695,20.0,5,9,1,1969-01-01,Central,Fully equipped,0.2,0.32,0.38,0.12,11,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-marijonu-g-1-kambario-butas-marijonu-g-parduodamas-1-1-3265474/
58800,1993,29.5,5,5,1,1970-01-01,Central,Fully equipped,0.16,0.18,0.22,0.22,6,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-sodu-g-tvarkinga-bendrija-visada-tvarkingi-ir-1-3260104/
122000,1743,70.0,2,3,3,1958-01-01,Central thermostat,Fully equipped,0.58,0.07,0.06,0.16,4,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-kranto-g-naujai-renovuojamas-namassiais-metais-1-3251411/
17700,613,28.87,1,2,2,1968-01-01,"Electric, solid fuel",Other,0.44,0.47,0.51,0.22,1,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-skaistakalnio-g-parduodamas-2-kambariu-butas-maza-auksciame-1-3257348/
85000,1264,67.26,3,5,3,1985-01-01,Central,Fully equipped,0.17,0.15,0.36,0.39,9,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vaizganto-g-parduodamas-jaukus-puikioje-lokacijoje-1-3266242/
42900,958,44.77,2,5,2,1965-01-01,Central,Fully equipped,0.12,0.46,0.2,0.13,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-smelynes-g-butas-nekampinis-siltas-ir-sviesus-brokeriu-1-3176646/
225000,3629,62.0,3,3,3,1957-01-01,"Central, electric, solid fuel",Fully equipped,0.61,0.08,0.17,0.23,4,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-kranto-g-objektas-randasi-panevezio-unikalioje-vietoje-1-3263452/
48900,1322,37.0,4,5,2,1965-01-01,Central,Fully equipped,0.18,0.17,0.39,0.29,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilties-g-parduodamas-funkcionaliai-isplanuotas-naujai-1-3271258/
79000,1151,68.64,3,5,3,1977-01-01,Central,Fully equipped,0.31,0.34,0.12,0.17,6,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-j-basanaviciaus-g-puikus-butas-patogiam-gyvenimui-miesto-centre-1-3260958/
55500,1405,39.49,5,5,2,1964-01-01,Central,Fully equipped,0.25,0.36,0.08,0.22,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilniaus-g-parduodamas-jaukus-sviesus-butas-panevezio-1-3240046/
37000,1194,31.0,5,5,1,1970-01-01,Central,Fully equipped,0.11,0.18,0.21,0.34,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilniaus-g-parduodu-vieno-kambario-buta-vilniaus-gatveje-1-3260248/
140000,1772,79.0,2,5,3,1978-01-01,Central,Fully equipped,0.19,0.19,0.22,0.07,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ramygalos-g-bute-smeg-buitine-technika-skalbimo-masina-1-3258704/
97000,1540,63.0,2,2,3,1930-01-01,"Electric, sun energy",Fully equipped,0.25,0.12,0.12,0.1,6,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-savanoriu-a-butas-ofisas-miesto-centre-prie-pat-laisves-1-3213484/
87000,1243,70.0,2,3,3,1953-01-01,Central,Fully equipped,0.18,0.31,0.25,0.18,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-marijonu-g-parduodamas-antrame-aukste-3-k-70-kvm-butas-1-3241384/
43500,888,49.01,4,5,2,1965-01-01,Central,Other,0.26,0.13,0.43,0.43,8,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-nevezio-g-parduodamas-butas-nevezio-g-kuriame-1-3272006/
42000,1433,29.3,2,5,1,1963-01-01,Central,Fully equipped,0.16,0.31,0.15,0.24,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilniaus-g-parduodamas-1-kambario-butas-antrame-aukste-1-3260596/
71600,1100,65.11,5,5,3,1988-01-01,Central,Fully equipped,0.58,0.24,0.4,0.18,8,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ramygalos-g-parduodamas-tvarkingas-3-kambariu-butas-1-3269032/
75000,1057,70.94,4,5,4,1970-01-01,Central,Fully equipped,0.21,0.27,0.03,0.03,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-durpyno-g-tvarkingas-butas-durpyno-gatveje-parduodamas-1-3272884/
45000,890,50.55,3,4,3,1962-01-01,Central,Other,0.2,0.35,0.09,0.3,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-liepu-al-parduodamas-3-kambariu-butas-liepu-al-15a-1-3272482/
71900,1374,52.32,1,5,2,1977-01-01,Central,Fully equipped,0.2,0.15,0.11,0.08,13,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ramygalos-g-parduodamas-2-kambariu-butas-salia-miesto-1-3272396/
29700,977,30.39,2,5,1,1966-01-01,Central,Other,0.09,0.36,0.24,0.2,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-j-basanaviciaus-g-parduodamas-3039-kvm-1-k-butas-j-1-3272298/
42000,955,44.0,4,5,2,1964-01-01,"Central, electric",Fully equipped,0.09,0.27,0.21,0.27,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-margiu-g-parduodamas-butas-margiu-g-panevezyje-1-3272220/
44900,1188,37.78,4,5,1,1974-01-01,Central,Fully equipped,0.31,0.34,0.12,0.17,6,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-j-basanaviciaus-g-parduodamas-vieno-kambario-butas-panevezio-1-3272130/
35900,933,38.49,1,5,2,1962-01-01,Central,Fully equipped,0.18,0.4,0.14,0.26,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-liepu-al-parduodamas-2-kamb-butas-renovuotame-name-1-3270636/
47700,1171,40.72,1,5,2,1962-01-01,Central,Fully equipped,0.08,0.23,0.15,0.26,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilties-g-parduodamas-2-kambariu-butas-renovuotame-1-3270468/
110000,1812,60.69,1,2,4,1961-01-01,"Central, gas",Fully equipped,0.44,0.3,0.16,0.08,4,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-anyksciu-g-parduodamos-6069-kvm-ploto-patalpos-butas-1-3270372/
40500,906,44.71,5,5,2,1966-01-01,Central,Fully equipped,0.09,0.36,0.24,0.2,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-j-basanaviciaus-g-parduodamas-2-kambariu-butas-dalinai-1-3268792/
32900,755,43.6,4,4,2,1963-01-01,Central,Fully equipped,0.14,0.28,0.32,0.13,11,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilties-g-parduodamas-2-kambariu-butas-vilties-g-1-3269918/
30000,987,30.39,4,5,1,1966-01-01,Central,Fully equipped,0.1,0.23,0.13,0.15,13,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ramygalos-g-1-k-butas-renovuotame-name-ramygalos-g-1-3269066/
55000,1014,54.23,4,5,2,1968-01-01,Central,Fully equipped,0.46,0.47,0.13,0.14,8,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-berzu-g-parduodamas-2-kambariu-butas-berzu-g-nr-31-1-3269028/
40000,909,44.0,5,5,2,1976-01-01,Central,Fully equipped,0.2,0.38,0.14,0.16,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-algirdo-g-2-k-butas-algirdo-g-salia-miesto-centrinis-1-3268334/
45700,998,45.77,5,5,2,1972-01-01,Central,Fully equipped,0.19,0.27,0.08,0.18,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-margiu-g-parduodamas-dvieju-kambariu-butas-muriniame-1-3268208/
58000,892,65.0,5,5,3,1970-01-01,Central,Fully equipped,0.06,0.09,0.28,0.21,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-danutes-g-parduodamas-3-kambariu-butas-danutes-gatveje-1-3267808/
70000,1079,64.85,1,5,3,1984-01-01,Central,Fully equipped,0.17,0.15,0.36,0.39,9,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vaizganto-g-parduodamas-3-kambariu-butas-panevezio-miesto-1-3264208/
120000,1017,118.0,12,13,4,1995-01-01,Central,Fully equipped,0.13,0.25,0.61,0.04,4,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-parko-g-parduodamas-4-kambariu-butas-parko-gatveje-1-3264158/
104159,1574,66.17,1,3,3,2022-01-01,Central thermostat,Fully equipped,0.24,0.41,0.51,0.17,3,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-parko-g-parduodami-nauji-butai-parko-gatveje-naujame-1-3261304/
45000,918,49.0,5,5,2,1970-01-01,Central,Fully equipped,0.28,0.34,0.06,0.1,13,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-durpyno-g-parduodamas-2-kambariu-butas-durpyno-g-1-3261264/
50499,1010,50.0,4,5,2,1973-01-01,Central,Fully equipped,0.24,0.24,0.15,0.09,12,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-statybininku-g-parduodamas-2-k-butas-statybininku-g-salia-1-3237896/
43000,1157,37.15,2,5,1,1985-01-01,Central,Fully equipped,0.29,0.27,0.34,0.14,9,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-seinu-g-parduodamas-tvarkingas-pilnai-irengtas-1-3256064/
45500,894,50.88,4,5,2,1970-01-01,Central,Fully equipped,0.28,0.34,0.06,0.1,13,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-durpyno-g-parduodamas-2-kambario-butas-durpyno-g-1-3259998/
39500,825,47.86,1,5,2,1965-01-01,Central,Fully equipped,0.15,0.48,0.19,0.16,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-smelynes-g-parduodamas-2-k-butas-smelynes-g-1-3259996/
81675,1500,54.45,2,3,2,2022-01-01,Central thermostat,Partial decoration,0.11,0.42,0.54,0.07,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-parko-g-parduodami-nauji-butai-parko-rezidencijos-1-3259816/
48500,1131,42.9,1,5,2,1963-01-01,Central,Fully equipped,0.22,0.38,0.3,0.09,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-marijonu-g-parduodamas-sviesus-ir-siltas-2-k-marijonu-g-1-3258964/
77500,967,80.11,3,4,4,1975-01-01,Central,Fully equipped,0.15,0.12,0.21,0.19,13,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-danutes-g-parduodamas-4-k-butas-centrineje-miesto-1-3258874/
58000,1328,43.69,5,5,2,1962-01-01,Central,Fully equipped,0.27,0.23,0.35,0.2,8,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-liepu-al-parduodamas-2-kambariu-butas-adresu-liepu-al-1-3258238/
64900,1324,49.0,1,5,2,1987-01-01,Central,Fully equipped,0.21,0.41,0.13,0.14,8,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-prekybos-g-ramioje-vietoje-parduodamas-jaukus-ir-siltas-1-3254539/
82700,797,103.77,5,5,4,1980-01-01,Central,Fully equipped,0.15,0.4,0.09,0.24,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-liepu-al-parduodami-du-sujungti-i-viena-dvieju-1-3253923/
50000,1109,45.09,3,5,2,1965-01-01,Central,Fully equipped,0.12,0.46,0.2,0.13,7,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-smelynes-g-parduodamas-2-kambariu-butas-smelynes-g-57-1-3252465/
38900,878,44.33,5,5,2,1967-01-01,Central,Fully equipped,0.09,0.36,0.24,0.2,15,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-j-basanaviciaus-g-parduodamas-2-k-4433-kvm-butas-centrineje-1-3247843/
180000,2351,76.56,2,2,3,2017-01-01,Central thermostat,Fully equipped,0.37,0.11,0.15,0.2,16,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vasario-16-osios-g-parduodamas-3-kambariu-butas-miesto-centre-1-3247361/
90000,980,91.86,1,5,4,1970-01-01,Central,Fully equipped,0.11,0.2,0.15,0.19,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-sodu-g-parduodamas-4-k-butas-miesto-centre-sodu-g-1-3244667/
42000,2058,20.41,7,9,1,1966-01-01,Central,Fully equipped,0.2,0.32,0.38,0.12,11,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-marijonu-g-parduodamas-pilnai-irengtas-sviesus-ir-1-3242259/
91999,1808,50.89,3,4,3,1962-01-01,Central,Fully equipped,0.41,0.3,0.06,0.07,5,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-ukmerges-g-parduodamas-3kambariu-butas-miesto-centre-1-3237966/
38000,873,43.55,4,5,2,1964-01-01,Central,Fully equipped,0.23,0.26,0.44,0.21,10,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-vilties-g-parduodamas-sviesus-remontuotinas-2-kambariu-1-3197975/
18200,1020,17.85,3,5,1,1970-01-01,Central,Fully equipped,0.25,0.21,0.06,0.16,6,Panevėžys,Centras,https://en.aruodas.lt/butai-panevezyje-centre-nemuno-g-panevezyje-nemuno-g-14-patogioje-vietoje-1-2803293/
29700,868,34.23,4,5,1,1977-01-01,Central,Fully equipped,0.69,0.63,0.19,0.37,7,Panevėžys,Žemaičiai,https://en.aruodas.lt/butai-panevezyje-zemaiciuose-staniunu-g-parduodamas-1-kambario-butas-panevezyje-1-3272280/
