Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
68000,2345,29.0,5,5,1,1964-01-01,Central,Fully equipped,0.1,0.08,0.15,0.2,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-parduodamas-naujai-irengtas-29-kvm-butas-1-3265838/
54700,1312,41.7,1,2,2,1953-01-01,Solid fuel,Fully equipped,0.04,0.48,1.0,0.07,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-a-kojelaviciaus-g-parduodamas-2-kambariu-butas-su-nuosavais-1-3270172/
59500,1761,33.79,4,5,2,1975-01-01,Central,Fully equipped,0.52,0.27,0.12,0.06,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-naujojoje-vilnioje-parko-g-parduodamas-2-1-3270880/
42500,2024,21.0,3,4,1,1981-01-01,Gas,Fully equipped,0.55,0.49,0.39,0.04,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-parduodamas-mikroloftas-pramones-g-49a-1-3261348/
68000,2345,29.0,5,5,1,1968-01-01,Central,Fully equipped,0.32,0.19,0.19,0.08,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-2022-m-naujai-suremontuotas-1-3272240/
62000,2313,26.8,3,5,1,1964-01-01,Central,Fully equipped,0.06,0.06,0.16,0.15,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-1-3269416/
85300,1343,63.52,5,5,3,1977-01-01,Central,Fully equipped,0.24,0.2,0.28,0.14,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-funkcionaliai-isplanuotas-1-3269172/
26000,1185,21.94,2,5,1,1967-01-01,Central,Fully equipped,0.17,0.31,0.35,0.16,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pergales-g-kambarys-bendrabutyjebendras-dusastualetas-1-3247365/
100000,2951,33.89,3,5,1,1977-01-01,Central,Fully equipped,0.16,0.06,0.13,0.23,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-butas-kuriame-ka-tik-atliktas-1-3264186/
143000,1951,73.29,5,5,4,1986-01-01,Central,Fully equipped,0.65,0.12,0.09,0.05,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-buto-privalumai-funkcionalus-buto-1-3241442/
97000,1540,63.0,2,5,3,1978-01-01,Central,Fully equipped,0.14,0.16,0.19,0.21,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geroves-g-parduodamas-63kvm-triju-kambariu-butas-1-3262984/
30500,1017,30.0,2,4,1,1990-01-01,"Electric, other",Partial decoration,0.26,0.68,0.89,0.03,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-be-tarpininku-parduodame-butus-studijalofta-1-2894373/
131500,2147,61.25,5,5,3,1980-01-01,Central,Fully equipped,0.31,0.31,0.37,0.04,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geroves-g-parduodamas-sviesus-naujai-irengtas-3-1-3260898/
54500,1636,33.31,6,6,2,1986-01-01,Central,Fully equipped,0.5,0.12,0.09,0.14,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-karklenu-g-parduodamas-2-kambariu-3331-kvm-butas-n-1-3269456/
38900,1852,21.0,4,4,1,1969-01-01,Gas,Fully equipped,0.55,0.49,0.39,0.04,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-parduodamas-loftas-naujoje-vilnioje-1-3260016/
79500,1596,49.8,5,5,2,1971-01-01,Central,Other,0.2,0.14,0.36,0.27,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pergales-g-parduodamas-2-ieju-kambariu-4980-m-butas-1-3258102/
59500,1566,38.0,4,5,2,1975-01-01,Central,Fully equipped,0.33,0.09,0.22,0.25,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-2-kambariu-butas-2-kambariu-butas-naujojoje-1-3265654/
250000,2525,99.0,3,5,4,2005-01-01,Gas,Fully equipped,0.4,0.26,0.03,0.12,13.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-jeigu-su-seima-ieskote-erdvaus-buto-puikioje-1-3271090/
150000,1835,81.75,5,5,4,1984-01-01,Central,Fully equipped,0.72,0.23,0.24,0.16,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-patogiai-bei-praktiskai-isplanuotas-butas-1-3251287/
43900,1530,28.69,4,4,1,1970-01-01,Electric,Fully equipped,0.26,0.68,0.89,0.03,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-parduodamas-naujai-irengtas-mikro-loftas-1-3250057/
129000,1741,74.08,3,5,4,1975-01-01,Central,Fully equipped,0.27,0.08,0.16,0.16,12.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-buto-privalumai-balkonas-rusys-1-3249951/
95000,1532,62.0,2,5,3,1985-01-01,Central,Fully equipped,0.65,0.12,0.09,0.05,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-triju-kambariu-66-m2-butas-parko-g-naujojoje-1-3249937/
52000,1857,28.0,3,3,2,1981-01-01,Electric,Fully equipped,0.98,1.1,0.61,0.1,4.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-parduodamas-jaukus-ir-ergonomiskas-butas-1-3268662/
128000,2415,53.0,2,5,2,1983-01-01,Central,Fully equipped,0.16,0.14,0.21,0.14,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geroves-g-parduodamas-naujai-suremontuotas-dvieju-1-3248985/
118000,1615,73.08,1,5,4,1986-01-01,Central,Fully equipped,0.72,0.36,0.3,0.13,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-kvieciame-registruotis-i-atviru-duru-diena-1-3263892/
132000,2400,55.0,4,5,3,1986-01-01,Central,Fully equipped,0.27,0.08,0.16,0.16,12.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-svieziai-ir-pilnai-irengtas-bei-1-3269360/
108000,1691,63.87,5,5,3,1980-01-01,Central,Fully equipped,0.4,0.32,0.12,0.08,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-puikus-tvarkingas-butas-galima-gyventi-1-3244501/
87000,2145,40.55,2,12,2,1980-01-01,Central,Fully equipped,0.65,0.12,0.09,0.05,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-verta-zinoti-parduodamas-su-baldais-ir-1-3272748/
75000,1500,50.0,7,9,2,1988-01-01,Central,Partial decoration,0.86,0.49,0.45,0.1,4.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-parduodamas-remontuotinas-dvieju-kambariu-1-3272490/
68000,2345,29.0,5,5,2,1964-01-01,Central,Fully equipped,0.1,0.08,0.15,0.2,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-parduodamas-naujai-irengtas-29-kvm-butas-1-3265836/
68000,2345,29.0,5,5,1,1964-01-01,Central,Fully equipped,0.1,0.08,0.15,0.2,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-parduodamas-naujai-irengtas-29-kvm-butas-1-3265838/
59500,1566,38.0,4,5,2,1975-01-01,Central,Fully equipped,0.33,0.09,0.22,0.25,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-verta-zinoti-parduodamas-su-baldais-ir-1-3272012/
96000,1315,73.0,10,10,4,1990-01-01,Central,Other,0.52,0.32,0.1,0.07,8.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-verta-zinoti-keturi-atskiri-kambariai-1-3272008/
135000,1790,75.44,3,3,2,2007-01-01,Gas,Fully equipped,1.1,0.86,0.85,0.46,3.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-m-siksnio-g-parduodamas-jaukus-2-kambariu-gali-buti-1-3271998/
135000,1790,75.44,3,3,2,2007-01-01,Gas,Fully equipped,1.1,0.86,0.85,0.46,3.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-galgiuose-m-siksnio-g-parduodamas-jaukus-2-kambariu-gali-buti-1-3264440/
82000,2213,37.06,1,4,2,1963-01-01,Central,Fully equipped,0.11,0.2,0.19,0.05,7.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-parduodamas-suremontuotas-dvieju-kambariu-1-3264806/
54000,1268,42.59,1,1,2,1967-01-01,Solid fuel,Fully equipped,0.73,0.56,0.38,0.09,2.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-gandru-g-strategiskai-patogioje-naujosios-vilnios-1-3271390/
95000,1900,50.0,4,5,2,1989-01-01,Central,Fully equipped,0.88,0.52,0.47,0.13,3.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-parduodamas-2-atskiru-kambariu-butas-1-3242509/
93500,1866,50.11,4,6,2,1989-01-01,Central,Fully equipped,0.65,0.12,0.09,0.05,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-geroje-vietoje-parduodamas-sviesus-jaukiai-1-3270752/
27500,1667,16.5,2,4,1,1980-01-01,Central,Fully equipped,0.17,0.31,0.35,0.16,5.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pergales-g-parduodamas-bendrabucio-tipo-butas-esantis-1-3270648/
93500,1866,50.11,4,5,2,1989-01-01,Central,Fully equipped,0.88,0.52,0.47,0.13,3.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-verta-zinoti-du-atskiri-kambariai-1-3270548/
54200,2198,24.66,4,5,1,1964-01-01,Central,Fully equipped,0.06,0.06,0.16,0.15,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-parduodamas-jaukus-1-kambario-butas-n-1-3246315/
97000,1668,58.16,4,5,2,1996-01-01,Central,Fully equipped,0.65,0.12,0.09,0.05,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-linksmoji-g-parduodamas-ramioje-vietoje-2-izoliuotu-1-3270178/
89900,1872,48.03,1,3,2,1960-01-01,Central,Fully equipped,0.05,0.11,0.19,0.02,6.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-parko-g-renovuotame-name-parduodamas-sviesus-2-1-3269244/
35000,1842,19.0,2,4,1,1981-01-01,Gas,Fully equipped,0.55,0.49,0.39,0.04,1.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-verta-zinoti-bustas-renovuotame-name-1-3268714/
95000,1792,53.0,3,5,2,1977-01-01,Central,Fully equipped,0.28,0.12,0.25,0.25,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-2-k-butas-naujoje-vilnioje-1-3268112/
49000,1633,30.0,2,2,2,1976-01-01,Central,Fully equipped,0.98,1.1,0.61,0.1,4.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-dumu-g-parduodamas-erdvus-sviesus-30-kv-m-2-1-3255384/
184900,2371,78.0,2,9,3,2016-01-01,Central thermostat,Fully equipped,0.35,0.21,0.4,0.08,8.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-karklenu-g-parduodamas-tvarkingas-3-kambariu-butas-su-1-3267084/
