Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
111300,1666,66.82,1,2,4,2022-01-01,Gas,Partial decoration,0.13,0.32,0.1,0.02,7,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-ausros-al-nekilnojamojo-turto-agentura-du-procentai-1-3265666/
62000,1476,42.0,3,4,2,1962-01-01,Central,Fully equipped,0.16,0.29,0.14,0.04,12,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-draugystes-pr-renovuotame-name-parduodamas-dvieju-kambariu-1-3273362/
62000,1442,43.0,1,5,2,1965-01-01,Central,Fully equipped,0.32,0.23,0.14,0.27,17,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-traku-g-parduodamas-tvarkingas-butas-traku-g-32-1-3273086/
82000,1339,61.25,3,5,3,1970-01-01,Central,Fully equipped,0.18,0.53,0.46,0.21,5,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-dubijos-g-parduodamas-tvarkingas-3-kambariu-butas-1-3273070/
91000,2220,41.0,1,4,2,1959-01-01,Central,Fully equipped,0.07,0.1,0.17,0.02,25,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-vytauto-g-parduodamas-2-kambariu-butas-pirmame-aukste-1-3271370/
26900,1056,25.48,4,5,1,1963-01-01,Central,Fully equipped,0.09,0.35,0.25,0.14,6,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-zalgirio-g-parduodamas-tvarkingas-1-kambario-butas-su-1-3271330/
100000,2381,42.0,4,4,2,1960-01-01,Central,Fully equipped,0.07,0.1,0.17,0.02,25,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-vytauto-g-parduodama-viskas-kas-matoma-nuotraukose-1-3193228/
79900,1697,47.09,3,5,2,1970-01-01,Central,Fully equipped,0.15,0.49,0.43,0.17,5,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-ezero-g-parduodamas-naujai-renovuotas-2-kambariu-1-3269742/
39700,1303,30.47,1,5,1,1967-01-01,Central,Fully equipped,0.25,0.45,0.11,0.18,12,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-tilzes-g-1-3267960/
74999,1471,51.0,1,5,3,1969-01-01,Central,Fully equipped,0.25,0.45,0.11,0.18,12,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-tilzes-g-parduodamas-grazus-triju-kambariu-butas-1-3267620/
129000,2481,52.0,2,4,2,1957-01-01,Central,Fully equipped,0.16,0.18,0.24,0.13,24,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-dvaro-g-miesto-sirdyje-salia-bulvaro-parduodamas-1-3266848/
50000,1128,44.31,5,5,2,1973-01-01,Central,Fully equipped,0.11,0.31,0.1,0.06,6,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-tilzes-g-parduodamas-dvieju-kambariu-butas-su-rusiu-2-1-3202593/
82000,1622,50.55,4,5,3,1967-01-01,Central,Fully equipped,0.23,0.09,0.22,0.15,15,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-traku-g-parduodamas-butas-centrineje-miesto-dalyje-1-3265556/
69900,1487,47.0,4,5,2,1968-01-01,Central,Fully equipped,0.42,0.07,0.24,0.12,6,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-vilniaus-g-2-kambariu-butas-centre-pesciuju-bulvare-1-3262524/
88000,1722,51.09,5,5,3,1961-01-01,Central,Fully equipped,0.22,0.34,0.14,0.11,13,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-draugystes-pr-parduodamas-tvarkingas-butas-miesto-centre-1-3261918/
25000,667,37.5,5,5,2,1968-01-01,Central,Fully equipped,0.38,0.28,0.1,0.27,14,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-varpo-g-parduodamas-bendrabucio-tipo-butas-varpo-1-3260062/
7800,430,18.13,5,5,1,1969-01-01,Central,Fully equipped,0.24,0.41,0.58,0.05,10,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-tilzes-g-sveiki-pasikeitus-gyvenimo-aplinkybems-1-3242607/
