Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
22000,679,32.38,1,1,1,Solid fuel,Fully equipped,0.63,0.86,0.64,0.42,0,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardupes-g-skubiai-parduodamas-vieno-kambario-butas-1-3222222/,1468272.9211320526,-1446272.9211320526,1940-01-01,2022-11-28
83500,2909,28.7,6,6,1,"Geothermal, sun energy",Partial decoration,0.32,0.5,0.13,0.15,12,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-taikos-pr-naujiena-moderniausiame-daugiabutyje-1-3265510/,1510423.231348646,-1426923.231348646,2023-01-01,2022-11-28
119500,2490,48.0,1,6,2,"Geothermal, sun energy",Partial decoration,0.32,0.5,0.13,0.15,12,Klaipėda,Vėtrungė,https://en.aruodas.lt/butai-klaipedoje-vetrungeje-taikos-pr-kvieciame-pasinerti-i-aukstuju-statybos-1-3231602/,1526224.9846924134,-1406724.9846924134,2021-01-01,2022-11-28
43000,1303,33.0,1,5,1,Central,Fully equipped,0.08,0.17,0.37,0.21,16,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-1-kambario-butas-zardininku-g-1-3272668/,1560970.6172515263,-1517970.6172515263,1988-01-01,2022-11-28
47000,1424,33.0,5,5,1,Central,Fully equipped,0.19,0.2,0.5,0.3,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-klaipedoje-zardininku-g-parduodamas-1-o-1-3243365/,1564970.648939731,-1517970.648939731,1977-01-01,2022-11-28
47000,1421,33.07,5,5,1,Central,Fully equipped,0.19,0.2,0.5,0.3,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-1-kambario-butas-55-butas-1-3213432/,1564970.6499763348,-1517970.6499763348,1977-01-01,2022-11-28
47000,1421,33.07,5,5,1,Central,Fully equipped,0.19,0.2,0.5,0.3,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-1-kambario-butas-55-butas-1-3213432/,1564970.6499763348,-1517970.6499763348,1977-01-01,2022-11-28
40000,933,42.89,2,3,2,Solid fuel,Partial decoration,0.58,0.65,0.16,0.07,4,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nemuno-g-parduodamas-2-ju-kambariu-butas-nemuno-1-3269228/,1565126.736291855,-1525126.736291855,1924-01-01,2022-11-28
48000,1455,33.0,4,5,1,Central,Fully equipped,0.17,0.24,0.47,0.34,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-suremntuotas-sviesus-ir-siltas-1-3272122/,1565970.6411653357,-1517970.6411653357,1979-01-01,2022-11-28
48000,1455,33.0,4,5,1,Central,Fully equipped,0.17,0.24,0.47,0.34,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-vieno-kambario-butas-zardininku-1-3272078/,1565970.6414060679,-1517970.6414060679,1978-01-01,2022-11-28
48000,1455,33.0,4,5,1,Central,Fully equipped,0.17,0.24,0.47,0.34,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-ka-tik-atliktas-remontas-sviesus-ir-siltas-1-3271980/,1565970.6414060679,-1517970.6414060679,1978-01-01,2022-11-28
48000,1455,33.0,4,5,1,Central,Fully equipped,0.17,0.24,0.47,0.34,8,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-zardininku-gatveje-parduodamas-1-no-kambario-1-3272248/,1565970.6414060679,-1517970.6414060679,1978-01-01,2022-11-28
