Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
339000,3970,85.39,2,3,4,Central thermostat,Fully equipped,0.32,0.26,0.36,0.18,13.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-teatro-g-ieskantiems-isskirtines-ir-aristokratiskos-1-3249927/,-386969.0,725969.0,1940-01-01,2022-11-29
228000,2954,77.18,1,5,2,Central thermostat,Fully equipped,0.54,0.52,0.27,0.14,32.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-sermuksniu-g-parduodamas-suremontuotas-2-kambariu-butas-1-3256776/,-382420.6875,610420.7,1961-01-01,2022-11-29
120000,870,138.0,0,5,5,Central,Fully equipped,0.14,0.15,0.04,0.11,6.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-gedimino-pr--parduodamos-138-kv-m-patalpos-cokoliniame-1-3250691/,-373071.78125,493071.78,1959-01-01,2022-11-29
280000,3500,80.0,1,5,4,Central thermostat,Fully equipped,0.35,0.42,0.2,0.24,32.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-pamenkalnio-g-verta-zinoti-butas-senamiescio-centre-1-3272104/,-354743.625,634743.6,2016-01-01,2022-11-29
410000,3306,124.0,1,2,5,Gas,Fully equipped,0.57,0.21,0.07,0.12,11.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-bernardinu-g-butas-senamiescio-sirdyje-salia-gedimino-1-3251275/,-341625.3125,751625.3,1890-01-01,2022-11-29
215000,3204,67.11,5,5,3,Central thermostat,Fully equipped,0.42,0.11,0.09,0.12,34.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-didzioji-g-parduodamas-mansardinis-butas-prestizineje-1-3271782/,-318582.25,533582.25,1955-01-01,2022-11-29
630000,4323,145.72,21,27,2,Central thermostat,Fully equipped,0.23,0.05,0.27,0.13,13.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-konstitucijos-pr-vilnius-is-aukstai-dar-grazesnis-1-3233766/,-310352.0625,940352.06,2004-01-01,2022-11-29
189000,5627,33.59,3,4,1,Central thermostat,Fully equipped,0.62,0.48,0.33,0.09,4.0,Vilnius,Paupys,https://en.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-jaukus-ir-kokybiskai-irengtas-1-3261100/,-288626.0,477626.0,2020-01-01,2022-11-29
239990,3502,68.53,1,5,2,Central thermostat,Fully equipped,0.09,0.18,0.18,0.14,44.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-sv-stepono-g-parduodamas-pilnai-irengtas-ir-erdvus-3-1-3196438/,-268239.15625,508229.16,2010-01-01,2022-11-29
89000,1216,73.22,1,2,3,Gas,Fully equipped,0.36,0.2,0.31,0.2,2.0,Vilnius,Žvėrynas,https://en.aruodas.lt/butai-vilniuje-zveryne-blindziu-g-viename-is-prestiziniu-vilniaus-miesto-rajonu-1-3267022/,-261741.375,350741.38,1940-01-01,2022-11-29
328000,4447,73.75,2,6,3,Central thermostat,Fully equipped,0.24,0.76,0.03,0.32,6.0,Vilnius,Paupys,https://en.aruodas.lt/butai-vilniuje-paupyje-manufakturu-g-butas-priesais-zalia-zona-bei-vilnele-1-3265640/,-259112.5625,587112.56,2019-01-01,2022-11-29
59600,1838,32.42,1,1,1,Central,Other,0.22,0.47,0.08,0.05,18.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-s-fino-g-vilniaus-miesto-savivaldybe-vieso-aukciono-1-3261670/,-241412.96875,301012.97,1940-01-01,2022-11-29
100000,2070,48.3,2,2,3,Central,Fully equipped,0.83,1.5,0.38,0.07,0.0,Vilnius,Verkiai,https://en.aruodas.lt/butai-vilniuje-balsiuose-verkiu-rieses-g-puiki-galimybe-apsigyventi-netoli-balsio-1-3270478/,-218162.71875,318162.72,1964-01-01,2022-11-29
100000,2070,48.3,2,2,3,Central,Fully equipped,0.83,1.5,0.38,0.07,0.0,Vilnius,Verkiai,https://en.aruodas.lt/butai-vilniuje-verkiuose-verkiu-rieses-g-puiki-galimybe-apsigyventi-netoli-balsio-1-3270470/,-218162.71875,318162.72,1964-01-01,2022-11-29
174900,2225,78.59,2,4,4,Central thermostat,Fully equipped,0.34,0.21,0.14,0.04,12.0,Klaipėda,Senamiestis,https://en.aruodas.lt/butai-klaipedoje-senamiestyje-grizgatvio-g-parduodamas-4-iu-kambariu-butas-renovuotame-1-3048755/,-217044.84375,391944.84,1960-01-01,2022-11-29
380000,5000,76.0,3,6,3,Central thermostat,Fully equipped,0.34,0.12,0.29,0.2,24.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-vilniaus-senamiestyje-ramioje-saltiniu-g-1-3272924/,-212140.875,592140.9,2016-01-01,2022-11-29
550000,5288,104.0,2,5,3,Central thermostat,Fully equipped,0.25,0.18,0.12,0.16,15.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-vingriu-g-jaukioje-ir-ramioje-senamiescio-vingriu-1-3245189/,-206891.75,756891.75,2001-01-01,2022-11-29
200000,1538,130.0,6,6,5,Gas,Fully equipped,0.24,0.37,0.3,0.32,9.0,Vilnius,Antakalnis,https://en.aruodas.lt/butai-vilniuje-antakalnyje-tvereciaus-g-parduodamas-nestandartinis-penkiu-kambariu-1-3237826/,-205672.53125,405672.53,1996-01-01,2022-11-29
75000,1246,60.21,1,2,2,Central thermostat,Fully equipped,0.44,0.53,0.38,0.35,3.0,Vilnius,Markučiai,https://en.aruodas.lt/butai-vilniuje-markuciuose-zibuokliu-g-skubiai-parduodamas-2-kambariu-butasnamo-1-3271508/,-203000.375,278000.38,1974-01-01,2022-11-29
207000,3818,54.22,2,3,2,Central thermostat,Fully equipped,0.13,0.09,0.1,0.14,40.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-sv-stepono-g-sv-stepono-g-parduodamas-2-kambariu-1-3271382/,-200372.875,407372.88,1940-01-01,2022-11-29
129000,2165,59.58,2,4,3,Gas,Fully equipped,0.29,2.8,0.85,0.83,0.0,Vilnius,Antakalnis,https://en.aruodas.lt/butai-vilniuje-antakalnyje-kregzdziu-g-parduodamas-naujai-irengtas-3-kambariu-butas-1-3252095/,-196994.28125,325994.28,1996-01-01,2022-11-29
399000,5280,75.57,5,6,3,Central thermostat,Fully equipped,0.32,0.13,0.29,0.27,20.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-stilingai-ir-ypac-kokybiskai-irengtas-butas-1-3266882/,-195439.25,594439.25,2016-01-01,2022-11-29
235000,3983,59.0,2,5,2,Central thermostat,Fully equipped,0.26,0.18,0.2,0.01,11.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-svitrigailos-g-parduodama-2-butai-uz-1-kaina-kartu-su-1-3235772/,-191823.3125,426823.3,2018-01-01,2022-11-29
50200,2148,23.37,1,1,1,Central,Other,0.23,0.45,0.06,0.03,19.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-s-fino-g-vilniaus-miesto-savivaldybe-vieso-aukciono-1-3261664/,-188054.015625,238254.02,1940-01-01,2022-11-29
74300,1826,40.7,3,4,1,Central thermostat,Fully equipped,0.23,0.78,0.09,0.02,7.0,Kaunas,Vilijampolė,https://en.aruodas.lt/butai-kaune-vilijampoleje-paneriu-g-parduodams-puikus-loftas-salia-centro-butas-1-3191722/,-185389.328125,259689.33,1987-01-01,2022-11-29
389000,2859,136.04,1,3,4,"Central, central thermostat",Fully equipped,0.24,0.39,0.28,0.25,7.0,Vilnius,Žvėrynas,https://en.aruodas.lt/butai-vilniuje-zveryne-lusiu-g-parduodamas-labai-erdvus-ir-sviesus-4-1-3270082/,-183039.0,572039.0,1995-01-01,2022-11-29
240000,3232,74.25,4,4,3,Central,Fully equipped,0.45,0.18,0.5,0.14,18.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-mecetes-g-parduodamas-jaukus-ir-sviesus-3k-butas-1-3268416/,-181367.6875,421367.7,1959-01-01,2022-11-29
145000,1859,78.0,2,5,4,Central,Fully equipped,0.31,0.23,0.2,0.12,8.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-kalvariju-g-parduodamas-4-riu-kambariu-butas-snipiskese-1-3272590/,-177495.15625,322495.16,1968-01-01,2022-11-29
148000,2902,51.0,4,4,2,Central thermostat,Fully equipped,0.05,0.12,0.27,0.14,5.0,Vilnius,Antakalnis,https://en.aruodas.lt/butai-vilniuje-antakalnyje-smelio-g-parduodamas-tvarkingas-dvieju-kambariu-butas-1-3267226/,-176524.53125,324524.53,1958-01-01,2022-11-29
189500,3790,50.0,3,5,2,Central thermostat,Fully equipped,0.32,0.13,0.29,0.27,20.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-aguonu-g-parduodami-2-kambariu-butai-senamiestyje-1-3235082/,-175943.65625,365443.66,2020-01-01,2022-11-29
43000,935,46.0,2,2,2,Gas,Fully equipped,0.68,0.64,0.47,0.13,6.0,Kaunas,Vilijampolė,https://en.aruodas.lt/butai-kaune-vilijampoleje-paneriu-g-objektas-yra-privacioje-valdoje-vienas-1-3264510/,-170386.578125,213386.58,1938-01-01,2022-11-29
149000,3645,40.88,3,3,2,Central thermostat,Fully equipped,1.4,0.64,0.49,0.55,5.0,Vilnius,Antakalnis,https://en.aruodas.lt/butai-vilniuje-antakalnyje-pylimeliu-g-pylimeliu-g-4-antakalnio-sen-1-3273140/,-166631.9375,315631.94,2016-01-01,2022-11-29
255000,3446,74.0,1,3,3,Central,Fully equipped,0.19,0.17,0.3,0.24,11.0,Vilnius,Senamiestis,https://en.aruodas.lt/butai-vilniuje-senamiestyje-j-basanaviciaus-g-autentiskos-architekturos-istoriniame-name-1-3253791/,-166028.40625,421028.4,1940-01-01,2022-11-29
100000,2381,42.0,3,4,2,Central thermostat,Fully equipped,0.23,0.78,0.09,0.02,7.0,Kaunas,Vilijampolė,https://en.aruodas.lt/butai-kaune-vilijampoleje-paneriu-g-parduodamas-42-kv-m-loftas-paneriu-g-51-1-3252429/,-165137.40625,265137.4,2019-01-01,2022-11-29
449000,3376,133.0,1,3,4,Central thermostat,Fully equipped,0.22,0.14,0.18,0.08,11.0,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-ziedu-skg-kai-komfortas-ir-stilius-susijungia-i-viena-1-3250421/,-164689.4375,613689.44,2021-01-01,2022-11-29
